"player","name","week","position","team","opponent","fantasy_points","fantasy_points_rank","pass_attempts","completions","passing_yards","air_yards_pass","passing_touchdowns","interceptions","carries","rushing_yards","rushing_touchdowns","targets","target_share","receptions","receiving_yards","air_yards","receiving_touchdowns","total_touches","total_yards","snaps","snap_share","pass_snaps","run_snaps","red_zone_snaps","play_action_snaps","snaps_in_motion","shotgun_snaps","backfield_snaps","slot_snaps","inline_snaps","snaps_out_wide","routes_run","primary_corner","hog_rate","contested_targets","contested_catches","catchable_targets","drops","deep_ball_attempts","deep_ball_completions","throws_under_duress","qb_seconds_to_throw","oline_hurries","batted_throws","money_throws","danger_plays","qb_throw_aways","sacks_taken","interceptable_passes","catchable_passes","yards_created","yards_created_rushing","yards_created_receiving","yards_blocked","evaded_tackles","defenders_in_box","defenders_in_box_pass_snaps","defenders_in_box_run_snaps","defenders_in_box_red_zone_snaps","passing_first_downs","rushing_first_downs","receiving_first_downs","red_zone_passes","red_zone_completions","red_zone_carries","red_zone_targets","goal_line_passes","goal_line_carries","goal_line_targets","end_zone_targets","first_down_targets","second_down_targets","third_down_targets","fourth_down_targets","first_down_receiving_yards","second_down_receiving_yards","third_down_receiving_yards","fourth_down_receiving_yards","first_down_throws","second_down_throws","third_down_throws","fourth_down_throws","first_down_passing_yards","second_down_passing_yards","third_down_passing_yards","fourth_down_passing_yards","first_down_carries","second_down_carries","third_down_carries","fourth_down_carries","first_down_rushing_yards","second_down_rushing_yards","third_down_rushing_yards","fourth_down_rushing_yards","carries_left","carries_middle","carries_right","carries_inside","carries_outside","targets_left","targets_middle","targets_right"
"00-0034855","Baker Mayfield",1,"QB","TB","ATL",22.58,12,32,17,167,327,3,0,5,39,0,0,0,0,0,0,0,5,39,57,100,33,22,2,8,,37,,0,,,0,"",0,,,,,5,2,,2.5625,10,,1,,2,1,,20,,,,,0,5.97,5.97,,6,9,3,,1,1,,,,,,,,,,,,,,,10,14,7,1,56,53,52,6,1,,4,,-1,,40,,1,2,1,2,2,,,
"00-0040676","Cameron Ward",1,"QB","TEN","DEN",2.48,32,28,12,112,294,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100,34,22,6,7,,41,,0,,1,0,"",0,,,,,3,0,,2.73571428571429,1,,,1,3,6,,18,,,,,,5.62,5.61,6,,5,,,,,,,,,,,,,,,,,,,7,12,9,,13,40,59,,,,,,,,,,,,,,,,,
"00-0039910","Jayden Daniels",1,"QB","WAS","NYG",20.12,13,30,19,233,279,1,0,11,68,0,0,0,0,0,0,0,11,68,67,100,33,29,9,7,,67,,0,,,0,"",0,,,,,3,2,,2.69090909090909,7,,,1,1,3,1,25,8,8,,14,1,5.77,5.77,,5.33,9,3,,3,1,1,,1,,,,,,,,,,,,8,14,8,,39,154,40,,3,5,3,,21,30,17,,2,4,2,4,4,,,
"00-0029604","Kirk Cousins",1,"QB",,"TB",0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,"",0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0033553","James Conner",1,"RB","ARI","NO",14.4,16,0,0,0,0,0,0,12,39,0,4,13.7931,4,5,-15,1,16,44,43,65.1515,23,16,8,11,4,28,42,0,,1,18,"",9.3023,0,0,4,,0,0,,,,,,,,,,,43,34,9,1,6,6.23,6.35,6.06,6.83,,1,1,,,2,1,,1,1,,2,2,,,-4,9,,,,,,,,,,,8,4,,,26,13,,,6,3,3,6,6,1,1,2
"00-0039921","Trey Benson",1,"RB","ARI","NO",8.5,29,0,0,0,0,0,0,8,69,0,1,3.4483,1,6,-2,0,9,75,22,33.3333,10,11,2,1,4,20,22,0,,,9,"",4.5455,0,0,1,,0,0,,,,,,,,,,,120,117,3,-45,4,5.67,5.9,5.45,5.5,,1,,,,2,,,,,,1,,,,6,,,,,,,,,,,,3,3,2,,5,56,8,,1,2,5,4,4,,,1
"00-0038542","Bijan Robinson",1,"RB","ATL","TB",24.4,2,0,0,0,0,0,0,12,24,0,7,16.2791,6,100,-9,1,19,124,62,82.6667,40,18,9,9,6,60,59,1,,2,39,"ZM-1280",11.2903,0,0,7,1,0,0,,,,,,,,,,,39,28,11,35,5,6.21,6.1,6.44,6.62,,,3,,,4,,,2,,,4,2,1,,27,50,23,,,,,,,,,,8,3,,1,17,7,,0,8,,4,4,8,2,,5
"00-0037263","Tyler Allgeier",1,"RB","ATL","TB",2.4,56,0,0,0,0,0,0,10,24,0,0,0,0,0,0,0,10,24,19,25.3333,7,11,4,2,,18,18,0,,1,7,"JD-1175",0,,,,,0,0,,,,,,,,,,,17,17,,7,1,6.33,5.86,6.64,6.75,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,5,3,1,1,21,2,-1,2,4,1,5,4,6,,,
"00-0032764","Derrick Henry",1,"RB","BAL","BUF",29.2,1,0,0,0,0,0,0,18,169,2,1,5.2632,1,13,5,0,19,182,29,56.8627,9,19,0,4,4,15,29,0,,,4,"",3.4483,0,0,1,,0,0,,,,,,1,,,,,97,95,2,39,3,6.54,6.33,6.63,,,5,1,,,,,,,,,1,,,,13,,,,,,,,,,,,13,5,,,123,46,,,7,2,9,7,11,,,1
"00-0034975","Justice Hill",1,"RB","BAL","BUF",-0.0999999999999999,99,0,0,0,0,0,0,2,-14,0,2,10.5263,1,3,-2,0,4,-11,23,45.098,13,10,4,1,5,22,21,1,,1,11,"MM-3168",8.6957,0,0,1,,0,0,,,,,,1,,,,,1,0,1,-12,0,5.74,5.54,6,5.75,,,,,,1,,,,,,,1,1,,,0,3,,,,,,,,,,2,,,,-14,,,,2,,,1,1,1,,1
