O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Injury Detail,Surgery,Recovery Timetable,Injured Reserve,IR from Previous inj.
O,Austin Ekeler,AE-0550,Los Angeles Chargers,Ankle sprain,ankle,lower body,Low Severity,Week 1,2023,3,5,,,,,
O,DeAndre Hopkins,DH-3950,Tennessee Titans,Undisclosed injury,ankle,lower body,Low Severity,Week 1,2023,,3,,,,,
O,Chris Evans,CE-9986,Cincinnati Bengals,Hamstring Strain,leg,lower body,Low Severity,Week 1,2023,1,1,,,,,
O,Aaron Jones,AJ-1143,Green Bay Packers,Hamstring Strain,leg,lower body,Medium Severity,Week 1,2023,4,9,,,,,
O,Brandin Cooks,BC-2325,Dallas Cowboys,Sprained MCL,knee,lower body,Medium Severity,Week 1,2023,1,2,,,,,
D,Kyler Gordon,KG-8902,Chicago Bears,Broken Hand,hand,upper body,Medium Severity,Week 1,2023,3,3,,,,Yes,
O,James Conner,JC-4075,Arizona Cardinals,Undisclosed injury,calf,lower body,Low Severity,Week 1,2023,,1,,,,,
D,Joey Bosa,JB-4450,Los Angeles Chargers,Hamstring Strain,leg,lower body,Low Severity,Week 1,2023,1,2,,,,,
O,C.J. Stroud,CS-6150,Houston Texans,Undisclosed injury,shoulder,upper body,Low Severity,Week 2,2023,,1,,,,,
D,Troy Andersen,TA-0110,Atlanta Falcons,Concussion,head,upper body,Medium Severity,Week 1,2023,,1,,,,,
O,Oli Udoh,OU-0050,Minnesota Vikings,Torn Quad,leg,lower body,High Severity,Week 2,2023,16,,,Yes,,Yes,
O ,Amari Cooper,AC-2350,Cleveland Browns ,Groin Strain,groin,lower body,Low Severity,Week 2,2023,,2,,,,,
D,Chris Rumph,CR-9535,Los Angeles Chargers,Hamstring strain,leg,lower body,Medium Severity,Week 2,2023,1,2,,,,,
O,Nick Chubb,NC-0175,Cleveland Browns ,Dislocated knee / torn MCL,knee,lower body,High Severity,Week 2,2023,15,,,Yes,,Yes,
O,Jamaal Williams,JW-3650,New Orleans Saints,Hamstring Strain,leg,lower body,Low Severity,Week 2,2023,3,4,,,,Yes,
D,Shaq Thompson,ST-0550,Carolina Panthers,Broken Fibula,leg,lower body,High Severity,week 2,2023,15,,,Yes,,Yes,
O,Justice Hill,JH-4085,Baltimore Ravens,Turf Toe,foot,lower body,Low Severity,Week 2,2023,1,2,,,,,
O,Chase Edmonds,CE-0175,Tampa Bay Buccaneers ,Sprained MCL,knee,lower body,Medium Severity,Week 2,2023,3,,,,,Yes,
O,Saquon Barkley,SB-0212,New York Giants,Sprained Ankle,ankle,lower body,Medium Severity,Week 2,2023,2,3,,,,,
D,Budda Baker,BB-0550,Arizona Cardinals,Strained Hamstring,hamstring,lower body,Medium Severity,week 2,2023,5,6,,,,Yes,
D,Carlos Watkins,CW-0875,Arizona Cardinals,Torn Bicep,chest,upper body,Medium Severity,Week 2,2023,2,,,Yes,,Yes,
O ,Peter Skoronski,PS-0223,Tennessee Titans,Appendectomy,abdomen,upper body,Medium Severity,Week 2,2023,3,,,,,,
O,Braxton Jones,BJ-2148,Chicago Bears,Neck Injury,neck,upper body,High Severity,Week 2,2023,2,,,Yes,,Yes,
D,Trevon Diggs,TD-1350,Dallas Cowboys,Torn ACL,knee,lower body,High Severity,Week 3,2023,15,,,Yes,,Yes,
O,Bryce Young,BY-3602,Carolina Panthers,Ankle Sprain,ankle,lower body,Medium Severity,Week 2,2023,1,2,,,,,
