O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Injury Detail,Surgery,Recovery Timetable,Injured Reserve,IR from Previous inj.
D,Frankie Luvu,FL-0300,Carolina Panthers,Shoulder,shoulder,upper body,Low Severity,Week 12,2023,,1,,,,,
D,Robert Spillane,RS-2475,Las Vegas Raiders,Ankle Sprain,ankle,lower body,Low Severity,Week 12,2023,,1,,,,,
D,Marcus Epps,ME-0485,Las Vegas Raiders,Stinger,neck,upper body,Low Severity,Week 12,2023,,1,,,,,
D,Carlton Davis,CD-0687,Tampa Bay Buccaneers,Hip Soreness,hip,lower body,Low Severity,Week 12,2023,,1,,,,,
D,Jonathan Jones,JJ-4565,New England Patriots,Knee,knee,lower body,Low Severity,Week 12,2023,,2,,,,,
O,Josiah Deguara,JD-1250,Green Bay Packers,Bruised Hip,hip,lower body,Low Severity,Week 11,2023,1,2,,,,,
O,AJ Dillon,AD-1184,Green Bay Packers,Groin Strain,groin,lower body,Low Severity,Week 11,2023,,3,,,,,
O,Aaron Jones,AJ-1143,Green Bay Packers,Knee Sprain,knee,lower body,Medium Severity,Week 11,2023,3,6,,,,,
O,Jayden Reed,JR-1006,Green Bay Packers,Bruised Chest,chest,upper body,Low Severity,Week 11,2023,,5,,,,,
O,Dontayvion Wicks,DW-0981,Green Bay Packers,Bruised Knee,knee,lower body,Low Severity,Week 11,2023,1,2,,,,,
O,CeeDee Lamb,CL-0206,Dallas Cowboys,Ankle Soreness,ankle,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Jake Bobo,JB-2224,Seattle Seahawks,Bruised Shoulder,shoulder,upper body,Low Severity,Week 11,2023,,1,,,,,
O,DeeJay Dallas,DD-0043,Seattle Seahawks,Bruised Shoulder,shoulder,upper body,Low Severity,Week 11,2023,,1,,,,,
O,DK Metcalf,DM-2275,Seattle Seahawks,Sprained Toe,foot,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Geno Smith,GS-1050,Seattle Seahawks,Bruised Right Elbow,elbow,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Kenneth Walker,KW-2389,Seattle Seahawks,Strained Oblique ,oblique,upper body,Medium Severity,Week 11,2023,2,3,,,,,
O,Tyreek Hill,TH-1750,Miami Dolphins,Bruised Hand,hand,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Michael Thomas,MT-0875,New Orleans Saints,Knee Sprain,knee,lower body,Medium Severity,Week 11,2023,6,1,,,,Yes,
O,Taylor Heinicke,TH-1250,Atlanta Falcons,Strained Hamstring,leg,lower body,Low Severity,Week 11,2023,,1,,,,,
O,,,,,,,,Week 11,2023,,,,,,,
O,George Pickens,GP-7717,Pittsburgh Steelers,Bruised Shin,leg,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Joe Burrow,JB-8050,Cincinnati Bengals,Torn Wrist Ligament,wrist,upper body,High Severity,Week 11,2023,7,7,,,,Yes,
O,Andrei Iosivas,AI-0111,Cincinnati Bengals,Knee Bruise,knee,lower body,Low Severity,Week 11,2023,1,2,,,,,
O,Chase Brown,CB-0113,Cincinnati Bengals,Hamstring Strain,leg,lower body,Low Severity,Week 11,2023,1,3,,,,,
O,Chris Godwin,CG-1425,Tampa Bay Buccaneers,Knee/Elbow Soreness,knee,lower body,Low Severity,Week 11,2023,,5,,,,,
O,Rachaad White,RW-9338,Tampa Bay Buccaneers,Knee Soreness,knee,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Darius Slayton,DS-2275,New York Giants,Neck Soreness,neck,upper body,Low Severity,Week 11,2023,1,1,,,,,
O,Rakim Jarrett,RJ-2394,Tampa Bay Buccaneers,Quad Strain,quad,lower body,Medium Severity,Week 11,2023,6,6,,,,,
O,Cooper Kupp,CK-1300,Los Angeles Rams,Ankle Sprain,ankle,lower body,Low Severity,Week 11,2023,,2,,,,,
O,Puka Nacua,PN-0223,Los Angeles Rams,Shoulder Bruise,shoulder,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Ben Skowronek,BS-9961,Los Angeles Rams,Bruised Hip,hip,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Marquise Brown,MB-4075,Arizona Cardinals,Sore Heel,heel,lower body,Medium Severity,Week 11,2023,4,7,,,,,
O,Dwayne Washington,DW-1550,Denver Broncos,Illness,abdomen,upper body,Low Severity,Week 11,2023,1,1,,,,,
O,Grant Calcaterra,GC-1057,Philadelphia Eagles,Sprained Ankle,ankle,lower body,Low Severity,Week 11,2023,1,2,,,,,
O,A.J. Brown,AB-3150,Philadelphia Eagles,Bruised Thigh,leg,lower body,Low Severity,Week 11,2023,,2,,,,,
O,DeVonta Smith,DS-9918,Philadelphia Eagles,Knee Soreness,knee,lower body,Low Severity,Week 11,2023,,2,,,,,
O,D'Andre Swift,DS-5175,Philadelphia Eagles,Ankle Soreness,ankle,lower body,Low Severity,Week 11,2023,,2,,,,,
O,Mecole Hardman,MH-0875,Kansas City Chiefs,Sprained Thumb,thumb,upper body,Medium Severity,Week 11,2023,5,6,,,,Yes,
O,Kadarius Toney,KT-9961,Kansas City Chiefs,Hip Soreness,hip,lower body,Medium Severity,Week 15,2023,5,5,,,,,
O,Kadarius Toney,KT-9961,Kansas City Chiefs,Ankle Sprain,ankle,lower body,Low Severity,Week 11,2023,2,2,,,,,
O,Mark Andrews,MA-1050,Baltimore Ravens,Cracked Fibula,leg,lower body,Medium Severity,Week 11,2023,7,8,,,,Yes,
O,Rashod Bateman,RB-9961,Baltimore Ravens ,Foot Soreness,foot,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Zay Flowers,ZF-1532,Baltimore Ravens,Hip Soreness,hip,lower body,Low Severity,Week 11,2023,,1,,,,,
O,Charlie Kolar,CK-6663,Baltimore Ravens,Illness,abdomen,upper body,Low Severity,Week 11,2023,,1,,,,,
O,Nick Vannett,NV-0050,Los Angeles Chargers,Concussion,head,upper body,Low Severity,Week 11,2023,2,3,,,,,
O,Lane Johnson,LJ-0850,Philadelphia Eagles,Groin Strain,groin,lower body,Low Severity,Week 12,2023,1,1,,,,,
D,Leonard Williams,LW-1350,Seattle Seahawks,Ankle Sprain,ankle,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Phil Haynes,PH-0425,Seattle Seahawks,Toe,toe,lower body,Low Severity,Week 12,2023,2,2,,,,,
D,Chandler Zavala,CZ-0111,Carolina Panthers,Knee,knee,lower body,High Severity,Week 12,2023,6,,,,,Yes,
O,Tytus Howard,TH-2862,Houston Texans,Patellar Tendon,knee,lower body,High Severity,Week 12,2023,6,,,,,Yes,
D,Grayland Arnold,GA-0325,Houston Texans,Calf Strain,calf,lower body,Medium Severity,Week 11,2023,6,,,,,Yes,
O,Cam Robinson,CR-1162,Jacksonville Jaguars,Knee,knee,lower body,Medium Severity,Week 12,2023,4,,,,,Yes,
D,Duke Shelley,DS-1780,Los Angeles Rams,Hamstring Strain,hamstring,lower body,Medium Severity,Week 12,2023,6,,,,,Yes,
D,Jaelan Phillips,JP-2146,Miami Dolphins,Achilles Tear,achilles,lower body,High Severity,Week 12,2023,6,,,Yes,,Yes,
D,George Odum,GO-0050,San Francisco 49ers,Torn Biceps,biceps,upper body,Medium Severity,Week 12,2023,6,,,,,Yes,
D,Jalen Thompson,JT-2250,Arizona Cardinals,Ribs,rib,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Vonn Bell,VB-0087,Carolina Panthers,Shoulder,shoulder,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Mike Hughes,MH-3715,Atlanta Falcons,Hand,hand,upper body,Low Severity,Week 12,2023,1,2,,,,,
D,Troy Hill,TH-1650,Carolina Panthers,Hip Soreness,hip,lower body,Low Severity,Week 12,2023,,1,,,,,
D,Alex Anzalone,AA-0552,Detroit Lions,Hand,hand,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Ja'Sir Taylor,JT-0113,Los Angeles Chargers,Illness,,#N/A,Low Severity,Week 12,2023,1,1,,,,,
D,Quentin Lake,QL-0110,Los Angeles Rams,Hamstring Strain,hamstring,lower body,Low Severity,Week 12,2023,1,1,,,,,
D,Marcus Maye,MM-1725,New Orleans Saints,Shoulder,shoulder,upper body,Low Severity,Week 12,2023,1,1,,,,,
D,Pete Werner,PW-3419,New Orleans Saints,Shoulder,shoulder,upper body,Low Severity,Week 12,2023,1,2,,,,,
D,Zach Cunningham,ZC-0300,Philadelphia Eagles,Hamstring Strain,hamstring,lower body,Low Severity,Week 12,2023,1,1,,,,,
O,Trey McBride,TM-6378,Arizona Cardinals,Groin Strain,groin,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Tommy Tremble,TT-9986,Carolina Panthers,Hip Soreness,hip,lower body,Low Severity,Week 12,2023,1,2,,,,,
O,Kareem Hunt,KH-2850,Cleveland Browns ,Groin Strain,groin,lower body,Low Severity,Week 12,2023,,5,,,,,
O,Dorian Thompson-Robinson,DT-6721,Cleveland Browns ,Concussion,head,upper body,Low Severity,Week 12,2023,1,2,,,,,
O,Amari Cooper,AC-2350,Cleveland Browns ,Bruised Ribs,rib,upper body,Low Severity,Week 12,2023,,3,,,,,
O,Jerry Jeudy,JJ-2325,Denver Broncos,Strained Groin,groin,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Marvin Mims,MM-7295,Denver Broncos,Hamstring Strain,hamstring,lower body,Low Severity,Week 12,2023,1,4,,,,,
O,Hendon Hooker,HH-8696,Detroit Lions,ACL Recovery,knee,lower body,High Severity,Week 12,2023,13,2,,Yes,,,
O ,David Montgomery,DM-2787,Detroit Lions,Bruised Foot,foot,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Nathaniel Dell,ND-0223,Houston Texans,Calf Strain,calf,lower body,Low Severity,Week 12,2023,,1,,,,,
O,C.J. Stroud,CS-6150,Houston Texans,Thigh Bruise,leg,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Jonathan Taylor,JT-1025,Indianapolis Colts,Torn Thumb Ligament,hand,upper body,Medium Severity,Week 12,2023,3,4,,,,,
O,Isaiah McKenzie,IM-0125,Indianapolis Colts,Toe Soreness,foot,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Keenan Allen,KA-0650,Los Angeles Chargers,Quad Strain,quad,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Demario Douglas,DD-2223,New England Patriots,Concussion,head,upper body,Low Severity,Week 12,2023,2,3,,,,,
O,Quentin Johnston,QJ-5720,Los Angeles Chargers,Bruised Ribs/Finger,abdomen,upper body,Low Severity,Week 12,2023,,1,,,,,
O,Tyreek Hill,TH-1750,Miami Dolphins,Ankle Soreness,ankle,lower body,Low Severity,Week 12,2023,1,5,,,,,
O,Tua Tagovailoa,TT-0075,Miami Dolphins,Right Arm Soreness,arm,upper body,Low Severity,Week 12,2023,,1,,,,,
O,Kayshon Boutte,KB-8300,New England Patriots,Bruised Shoulder,shoulder,upper body,Low Severity,Week 12,2023,2,3,,,,,
O,Ezekiel Elliott,EE-0250,New England Patriots,Bruised Thigh,leg,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Chris Olave,CO-2375,New Orleans Saints,Concussion,head,upper body,Low Severity,Week 12,2023,,1,,,,,
O,Rashid Shaheed,RS-0113,New Orleans Saints,Strained Quad,quad,lower body,Low Severity,Week 12,2023,2,3,,,,,
O,Breece Hall,BH-2913,New York Jets,Strained Hamstring,hamstring,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Israel Abanikanda,IA-0222,New York Jets,Illness,abdomen,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Julio Jones,JJ-4700,Philadelphia Eagles,Knee Soreness,knee,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Calvin Austin,CA-9961,Pittsburgh Steelers,Bruised Ankle,ankle,upper body,Low Severity,Week 12,2023,,1,,,,,
O,Kenny Pickett,KP-9921,Pittsburgh Steelers,Ankle Soreness,ankle,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Allen Robinson,AR-1250,Pittsburgh Steelers,Bruised Foot,foot,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Ray-Ray McCloud,RM-2050,San Francisco 49ers,Bruised Ribs,rib,upper body,Low Severity,Week 12,2023,2,2,,,,,
O,Jordan Mason,JM-0117,San Francisco 49ers,Hamstring Strain,leg,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Baker Mayfield,BM-0650,Tampa Bay Buccaneers,Ankle Sprain,ankle,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Travis Etienne,TE-9919,Jacksonville Jaguars,Bruised Ribs,rib,upper body,Low Severity,Week 12,2023,,1,,,,,
O,Luke Farrell,LF-9919,Jacksonville Jaguars,Toe Soreness,foot,lower body,Low Severity,Week 12,2023,,1,,,,,
O,Brenton Strange,BS-0001,Jacksonville Jaguars,Bruised Foot,foot,lower body,Low Severity,Week 12,2023,1,3,,,,,
O,Dalvin Cook,DC-3550,New York Jets,Shoulder Soreness,shoulder,upper body,Low Severity,Week 12,2023,,1,,,,,
D,Cameron Jordan,CJ-2400,New Orleans Saints,Ankle Sprain,ankle,lower body,Low Severity,Week 12,2023,,1,,,,,
D,Jevon Holland,JH-8500,Miami Dolphins,Knee,knee,lower body,Low Severity,Week 12,2023,2,2,,,,,
O,Erik McCoy,EM-0750,New Orleans Saints,Shoulder,shoulder,upper body,Low Severity,Week 12,2023,,1,,,,,
D,Arik Armstead,AA-0562,San Francisco 49ers,Foot,foot,lower body,Low Severity,Week 12,2023,5,6,,,,,
D,Shaun Wade,SW-5375,New England Patriots,Illness,,#N/A,Low Severity,Week 14,2023,1,1,,,,,
D,Christian Barmore,CB-6731,New England Patriots,Shoulder,shoulder,upper body,Low Severity,Week 13,2023,,2,,,,,
D,Elandon Roberts,ER-0250,Pittsburgh Steelers,Groin Strain,groin,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Isaac Seumalo,IS-0125,Pittsburgh Steelers,Shoulder,shoulder,upper body,Low Severity,Week 13,2023,,2,,,,,
O,Mason Cole,MC-1950,Pittsburgh Steelers,Neck Soreness,neck,upper body,Low Severity,Week 14,2023,,1,,,,,
D,James Pierre,JP-2887,Pittsburgh Steelers,Shoulder,shoulder,upper body,Low Severity,Week 11,2023,1,3,,,,,
O,Rhamondre Stevenson,RS-9934,New England Patriots,High Ankle Sprain,ankle,lower body,Medium Severity,Week 13,2023,3,3,,,,,
O,JuJu Smith-Schuster,JS-4750,New England Patriots,Ankle Soreness,ankle,lower body,Low Severity,Week 13,2023,3,3,,,,,
O,DeVante Parker,DP-0350,New England Patriots,Knee Soreness,knee,lower body,Low Severity,Week 13,2023,1,2,,,,,
O,Kenny Pickett,KP-9921,Pittsburgh Steelers,High Ankle Sprain,ankle,lower body,Medium Severity,Week 13,2023,3,4,,,,,
O,Najee Harris,NH-9919,Pittsburgh Steelers,Knee Bruise,knee,lower body,Low Severity,Week 13,2023,,5,,,,,
D,Malcolm Roach,MR-1050,New Orleans Saints,Knee,knee,lower body,High Severity,Week 13,2023,4,,,,,Yes,
D,Perrion Winfrey,PW-6800,New York Jets,Foot,foot,lower body,Low Severity,Week 13,2023,5,,,,,Yes,
D,Zech McPhearson,ZM-2391,Philadelphia Eagles,Achilles Tear,achilles,lower body,High Severity,Preseason,2023,17,,,,,Yes,
D,Darrell Luter,DL-0333,San Francisco 49ers,Hamstring Strain,hamstring,lower body,Low Severity,Week 13,2023,2,2,,,,,
D,Jeffery Simmons,JS-3112,Tennessee Titans,Knee Bruise,knee,lower body,Low Severity,Week 13,2023,5,2,,,,Yes,
O,Rashod Bateman,RB-9961,Baltimore Ravens,Illness,abdomen,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Lamar Jackson,LJ-0105,Baltimore Ravens,Illness,Abdomen,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Dalton Kincaid,DK-0223,Buffalo Bills,Bruised Thumb,thumb,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Amari Cooper,AC-2350,Cleveland Browns ,Concussion,head,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Sean McKeon,SM-1850,Dallas Cowboys,Sprained Ankle,ankle,lower body,Medium Severity,Week 13,2023,1,1,,,,Yes,
O,Marvin Mims,MM-7295,Denver Broncos,Bruised Ribs,abdomen,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Nathaniel Dell,ND-0223,Houston Texans,Broken fibula,ankle,lower body,High Severity,Week 13,2023,5,5,,Yes,,Yes,
O,Jared Wayne,JW-0223,Houston Texans,Undisclosed,,#N/A,Low Severity,Week 13,2023,1,1,,,,,
O,Christian Kirk,CK-0825,Jacksonville Jaguars,Groin tear,groin,lower body,Medium Severity,Week 13,2023,5,5,,,,Yes,
O,Trevor Lawrence,TL-9921,Jacksonville Jaguars,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,,2,,,,,
O,D'Ernest Johnson,DJ-0887,Jacksonville Jaguars,Knee Bruise,knee,lower body,Low Severity,Week 13,2023,,1,,,,,
O,C.J. Beathard,CB-1145,Jacksonville Jaguars,Bruised Shoulder,shoulder,upper body,Low Severity,Week 13,2023,,3,,,,,
O,Isiah Pacheco,IP-0110,Kansas City Chiefs,Sprained Shoulder,shoulder,upper body,Low Severity,Week 13,2023,3,5,,Yes,,,
O,Puka Nacua,PN-0223,Los Angeles Rams,Sprained Shoulder,shoulder,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Tyler Higbee,TH-1550,Los Angeles Rams,Stinger,neck,upper body,Low Severity,Week 13,2023,1,2,,,,,
O,Kene Nwangwu,KN-9986,Minnesota Vikings,Concussion,head,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Derek Carr,DC-0725,New Orleans Saints,Concussion,head,upper body,Low Severity,Week 13,2023,,1,,,,,
O,Juwan Johnson,JJ-3675,New Orleans Saints,Quad Strain,leg,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Taysom Hill,TH-1625,New Orleans Saints,Bruised Hand/Foot,hand,upper body,Low Severity,Week 13,2023,1,1,,,,,
O,C.J. Uzomah,CU-0150,New York Jets,Sprained MCL,knee,lower body,Medium Severity,Week 13,2023,1,1,,,,Yes,
O,Tyler Conklin,TC-2375,New York Jets,Strained Hamstring,leg,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Jason Brownlee,JB-2228,New York Jets,Sprained Ankle,ankle,lower body,Medium Severity,Week 13,2023,2,3,,,,,
O,Breece Hall,BH-2913,New York Jets,Sprained Ankle,ankle,lower body,Low Severity,Week 13,2023,,2,,,,,
O,Jack Stoll,JS-9986,Philadelphia Eagles,Bruised knee,knee,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Julio Jones,JJ-4700,Philadelphia Eagles,Groin Soreness,groin,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Jake Bobo,JB-2224,Seattle Seahawks,Knee/Shoulder Soreness,knee,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Zach Charbonnet,ZC-7608,Seattle Seahawks,Bruised knee,knee,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Ross Dwelley,RD-2300,San Francisco 49ers,Sprained Ankle,ankle,lower body,Medium Severity,Week 13,2023,5,5,,,,,
O,Elijah Mitchell,EM-9934,San Francisco 49ers,Knee Soreness,knee,lower body,Low Severity,Week 13,2023,3,3,,,,,
O,Josh Whyle,JW-1093,Tennessee Titans,Knee Bruise,knee,lower body,Low Severity,Week 13,2023,1,4,,,,,
D,Alim McNeill,AM-9263,Detroit Lions,Knee Sprain,knee,lower body,Medium Severity,Week 13,2023,4,,,,,Yes,
D,T.J. Watt,TW-1137,Pittsburgh Steelers,Concussion,head,upper body,Low Severity,Week 14,2023,,1,,,,,
D,David Onyemata,DO-0250,Atlanta Falcons,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,2,2,,,,,
O,Kaleb McGary,KM-1137,Atlanta Falcons,MCL,knee,lower body,Low Severity,Week 13,2023,3,3,,,,,
D,DeShawn Williams,DW-3650,Carolina Panthers,Knee,knee,lower body,Low Severity,Week 13,2023,1,1,,,,,
O,Frank Ragnow,FR-0025,Detroit Lions,Knee,knee,lower body,Low Severity,Week 13,2023,1,2,,,,,
O,Braden Smith,BS-2450,Indianapolis Colts,Knee,knee,lower body,Low Severity,Week 13,2023,3,5,,,,,
D,Tre Herndon,TH-1450,Jacksonville Jaguars,Concussion,head,upper body,Low Severity,Week 13,2023,1,2,,,,,
O,Walker Little,WL-3489,Jacksonville Jaguars,Hamstring Strain,hamstring,lower body,Low Severity,Week 13,2023,1,1,,,,,
D,Bryan Cook,BC-2227,Kansas City Chiefs,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,1,1,,,,,
O,Donovan Smith,DS-3037,Kansas City Chiefs,Neck Soreness,neck,upper body,Low Severity,Week 13,2023,5,5,,,,,
D,Drue Tranquill,DT-1912,Kansas City Chiefs,Concussion,head,upper body,Low Severity,Week 13,2023,1,1,,,,,
D,Deane Leonard,DL-0110,Los Angeles Chargers,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,3,4,,,,,
D,Isaiah Foskey,IF-0904,New Orleans Saints,Quadriceps,quad,lower body,Low Severity,Week 13,2023,3,3,,,,,
O,Geno Smith,GS-1050,Seattle Seahawks,Groin Strain,groin,lower body,Low Severity,Week 13,2023,1,3,,,,,
O,Equanimeous St. Brown,ES-1175,Chicago Bears,Strained Pectoral,chest,upper body,Medium Severity,Week 13,2023,3,3,,,,,
O,D'Wayne Eskridge,DE-9961,Seattle Seahawks,Bruised Ribs,rib,upper body,Low Severity,Week 13,2023,4,4,,,,,
O,Chris Olave,CO-2375,New Orleans Saints,Illness,,#N/A,Low Severity,Week 13,2023,,1,,,,,
O,Daniel Bellinger,DB-8695,New York Giants,Illness,,#N/A,Low Severity,Week 13,2023,,1,,,,,
O,Tyler Boyd,TB-2075,Cincinnati Bengals,Sprained Ankle,ankle,lower body,Low Severity,Week 13,2023,,2,,,,,
O,Tyler Scott,TS-2225,Chicago Bears,Hamstring Strain,leg,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Samaje Perine,SP-0825,Denver Broncos,Knee Soreness,knee,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Velus Jones,VJ-3860,Chicago Bears,Illness,,#N/A,Low Severity,Week 13,2023,,1,,,,,
D,Vita Vea,VV-0200,Tampa Bay Buccaneers,Toe,toe,lower body,Low Severity,Week 13,2023,2,2,,,,,
D,Jeff Okudah,JO-0543,Atlanta Falcons,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,1,1,,,,,
D,A.J. Terrell,AT-0282,Atlanta Falcons,Concussion,head,upper body,Low Severity,Week 13,2023,,1,,,,,
D,Cameron Mitchell,CM-5555,Cleveland Browns ,Hamstring Strain,hamstring,lower body,Medium Severity,Week 9,2023,4,,,,,,
D,Jerome Baker,JB-0550,Miami Dolphins,MCL Sprain,knee,lower body,Medium Severity,Week 13,2023,4,,,,,,
D,Tre Brown,SB-9172,Seattle Seahawks,Heel,heel,lower body,Low Severity,Week 13,2023,,1,,,,,
D,Jordyn Brooks,JB-6150,Seattle Seahawks,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,1,3,,,,,
D,John Ridgeway,JR-6360,Washington Commanders,Shin,shin,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Bradley Bozeman,BB-2552,Carolina Panthers,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,,1,,,,,
O,George Fant,GF-0025,Houston Texans,Hip Soreness,hip,lower body,Low Severity,Week 13,2023,,1,,,,,
D,Yannick Ngakoue,YN-0100,Chicago Bears,Knee,knee,lower body,Low Severity,Week 13,2023,,1,,,,,
D,D.J. Reader,DR-0625,Cincinnati Bengals,Back,back,upper body,Low Severity,Week 13,2023,,1,,,,,
D,Christian Wilkins,CW-2150,Miami Dolphins,Groin,groin,lower body,Low Severity,Week 13,2023,,1,,,,,
O,Ed Ingram,EI-2701,Minnesota Vikings,Hip Soreness,hip,lower body,Low Severity,Week 13,2023,1,1,,,,,
D,Isaiah Simmons,IS-0175,New York Giants,Ankle Sprain,ankle,lower body,Low Severity,Week 13,2023,,1,,,,,
D,Jarran Reed,JR-1025,Seattle Seahawks,Hamstring Strain,hamstring,lower body,Low Severity,Week 13,2023,,1,,,,,
D,Kristian Fulton,KF-0700,Tennessee Titans,Hamstring Strain,hamstring,lower body,Low Severity,Week 13,2023,6,1,,,,Yes,
O,Elgton Jenkins,EJ-0425,Green Bay Packers,Shoulder,shoulder,upper body,Low Severity,Week 13,2023,,1,,,,,
D,Darnell Savage,DS-0712,Green Bay Packers,Chest,chest,upper body,Low Severity,Week 13,2023,,1,,,,,
D,Devonte Wyatt,DW-2230,Green Bay Packers,Elbow,elbow,upper body,Low Severity,Week 13,2023,,1,,,,,
D,Quay Walker,QW-8305,Green Bay Packers,Shoulder,shoulder,upper body,Low Severity,Week 13,2023,1,1,,,,,
O,Christian Watson,CW-4091,Green Bay Packers,Hamstring Strain,leg,lower body,Medium Severity,Week 13,2023,5,7,,,,,
O,Andre James,AJ-0368,Las Vegas Raiders,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,1,2,,,,,
D,Adam Butler,AB-4000,Las Vegas Raiders,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,,1,,,,,
D,Yannick Ngakoue,YN-0100,Chicago Bears,Broken Ankle,ankle,lower body,High Severity,Week 14,2023,4,,,,,Yes,
D,Grant Delpit,GD-0150,Cleveland Browns ,Groin Strain,groin,lower body,Medium Severity,Week 14,2023,5,,,,,Yes,
D,Maurice Hurst,MH-3793,Cleveland Browns ,Torn Pectoral,chest,upper body,High Severity,Week 14,2023,5,,,,,Yes,
O,Connor Williams,CW-2850,Miami Dolphins,Torn ACL,knee,lower body,High Severity,Week 14,2023,5,,,Yes,,Yes,
O,Nick Saldiveri,NS-0229,New Orleans Saints,Shoulder,shoulder,upper body,High Severity,Week 7,2023,11,,,,,,
D,Justin Evans,JE-1300,Philadelphia Eagles,Knee,knee,lower body,High Severity,Week 5,2023,13,,,,,Yes,
D,Kyle Peko,KP-0325,Tennessee Titans,Calf Strain,calf,lower body,High Severity,Week 14,2023,5,,,,,Yes,
D,Jamin Davis,JD-3921,Washington Commanders,Shoulder,shoulder,upper body,High Severity,Week 13,2023,5,,,,,Yes,
O,Marlon Mack,MM-0050,Arizona Cardinals,Torn Achilles,heel,lower body,High Severity,Preseason,2023,17,,,Yes,,Yes,
O,Tim Patrick,TP-0675,Denver Broncos,Torn Achilles,heel,lower body,High Severity,Preseason,2023,17,,,Yes,,,
O,Luke Musgrave,LM-0223,Green Bay Packers,Lacerated Kidney,kidney,upper body,Medium Severity,Week 11,2023,6,4,,Yes,,Yes,
O,Salvon Ahmed,SA-0325,Miami Dolphins,Sprained Foot,foot,lower body,Medium Severity,Week 11,2023,4,4,,,,Yes,
O,Eno Benjamin,EB-0587,New Orleans Saints,Achilles Tear,heel,lower body,High Severity,Preseason,2023,17,,,,,,
O,Darren Waller,DW-0675,New York Giants,Hamstring strain,hamstring,lower body,Medium Severity,Week 8,2023,6,,,Yes,,,
O,Josh Jacobs,JJ-0587,Las Vegas Raiders,Quad Strain,quad,lower body,Low Severity,Week 13,2023,4,4,,,,,
O,Davante Adams,DA-0212,Las Vegas Raiders,Illness,,#N/A,Low Severity,Week 13,2023,,1,,,,,
O,Keenan Allen,KA-0650,Los Angeles Chargers,Heel Soreness,heel,lower body,Medium Severity,Week 13,2023,4,4,,,,,
O,Justin Herbert,JH-3418,Los Angeles Chargers,Broken Index Finger,hand,upper body,Medium Severity,Week 13,2023,4,4,,Yes,,Yes,
O,Donald Parham,DP-0250,Los Angeles Chargers,Shoulder Sprain,shoulder,upper body,Low Severity,Week 14,2023,1,1,,,,,
